Job Title,Company,Company Address,Posting Time,Job Type(s),Career Level,Years of Experience,Industries,Skill(s),Link
Full Stack Web Developer,Jump,"Cairo, Egypt",17/01/2022 17:23,Full Time | Work From Home | Full Stack Development,Experienced,4 - 12 Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,Angular | Java | MySQL | MongoDB | Full Stack Development | Computer Science | CSS | HTML,https://wuzzuf.net/jobs/p/cpbEAYTuGW2J-Full-Stack-Web-Developer-Jump-Cairo-Egypt?o=11&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Senior Frontend Web Developer,Trufla,"Heliopolis, Cairo, Egypt",05/01/2022 17:23,Full Time,Experienced,5 - 7 Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,HTML5 | Laravel | CMS | Sketch | Figma | InVision | Linux | Computer Science,https://wuzzuf.net/jobs/p/ZNMT5h5IF8Pk-Senior-Frontend-Web-Developer-Trufla-Cairo-Egypt?o=12&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Junior Web Developer,El-Amir Group,"Nozha, Cairo, Egypt",13/01/2022 17:23,Full Time | Software Development,Entry Level,1 - 2 Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,Software Development | Crystal Reports | ASP.NET | VB.Net | Microsoft SQL Server | Information Technology (IT) | Computer Science | .NET,https://wuzzuf.net/jobs/p/yBZHnKcPvyth-Junior-Web-Developer-El-Amir-Group-Cairo-Egypt?o=13&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Web Developer,Virtual Worker Now,"Heliopolis, Cairo, Egypt",06/01/2022 17:23,Full Time | Work From Home | Software Development,Entry Level,1 - 2 Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,HTML 5 | Java | CSS3 | CSS | PHP | HTML | Software Development | Information Technology (IT),https://wuzzuf.net/jobs/p/scsROqD2pc7b-Web-Developer-Virtual-Worker-Now-Cairo-Egypt?o=14&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Web Application Developer,Razaz Group,"New Cairo, Cairo, Egypt",06/01/2022 17:23,Full Time | PHP Web Programming | Web Development | Web Marketing,Entry Level,1+ Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,Computer Science | PHP Web Programming | Web Development | Web Marketing | SEO | Oracle | PHP | Java,https://wuzzuf.net/jobs/p/dqLo2ADjCu4l-Web-Application-Developer-Razaz-Group-Cairo-Egypt?o=15&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Laravel Web Developer,Confidential,"Giza, Egypt",02/01/2022 17:23,Full Time | laravel developer | Software Development | Web Development,Experienced,4 - 6 Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,Laravel | laravel developer | PHP | Software Development | Web Development | Computer Science | Information Technology (IT),https://wuzzuf.net/jobs/p/CwH1LRr1ZQ6u-Laravel-Web-Developer-Giza-Egypt?o=16&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Senior Web UI/UX Developer,Al-Ain News,"Smouha, Alexandria, Egypt",02/01/2022 17:23,Full Time | Software Development | Web Development,Experienced,4 - 8 Yrs of Exp,Creative/Design/Art | IT/Software Development | Engineering - Telecom/Technology,Graphic Design | UI/UX | Software Development | Information Technology (IT) | Computer Science | Web Development,https://wuzzuf.net/jobs/p/pj7QQdG0knWP-Senior-Web-UIUX-Developer-Al-Ain-News-Alexandria-Egypt?o=17&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Web PHP Native Developer,MFN Family,"Heliopolis, Cairo, Egypt",02/01/2022 17:23,Full Time | Web Development,Experienced,3 - 5 Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,MySQL | HTML5 | OOP | PHP | Web Development | JavaScript | jQuery | Bootstrap,https://wuzzuf.net/jobs/p/udIbXGflLUUz-Web-PHP-Native-Developer-MFN-Family-Cairo-Egypt?o=18&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Junior Web Developer (Back-End) - Alexandria,Arabic Localizer,"San Stefano, Alexandria, Egypt",02/01/2022 17:23,Full Time,Entry Level,0 - 3 Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,Laravel | PHP | MySQL | MVC Pattern | HTML | Javascript | JQuery | Bootstrap,https://wuzzuf.net/jobs/p/qMsdKLXNFKlg-Junior-Web-Developer-Back-End---Alexandria-Arabic-Localizer-Alexandria-Egypt?o=19&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Web Developer,Flojics,"Alexandria, Egypt",30/12/2021 17:23,Full Time | Web Development,Entry Level,0 - 1 Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,Computer Science | HTML5 | Information Technology (IT) | JavaScript | Web Development | Angular | CSS3 | jQuery,https://wuzzuf.net/jobs/p/19eHFzgytDVs-Web-Developer-Flojics-Alexandria-Egypt?o=20&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Senior Web Developer,EEC Group,"Sheraton, Cairo, Egypt",03/01/2022 17:23,Full Time | Software Development,Experienced,3 - 5 Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,Computer Engineering | Computer Science | Information Technology (IT) | Software Development | Software Engineering | Design Patterns | English,https://wuzzuf.net/jobs/p/dV71ub4OCkny-Senior-Web-Developer-EEC-Group-Cairo-Egypt?o=21&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Web Designer,Confidential,"Smouha, Alexandria, Egypt",16/01/2022 17:23,Full Time | Part Time | Work From Home,Entry Level,1 - 3 Yrs of Exp,Creative/Design/Art | IT/Software Development | Engineering - Telecom/Technology,CSS | Design | front-end | HTML | Information Technology (IT) | JavaScript | jQuery,https://wuzzuf.net/jobs/p/o7ufH70madxE-Web-Designer-Alexandria-Egypt?o=22&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Web Application Designer,IES (Think),"Shorouk City, Cairo, Egypt",13/01/2022 17:23,Full Time | Web Design,Experienced,2+ Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,Computer Science | CSS | Design | HTML | HTML5 | JavaScript | jQuery | Web Design,https://wuzzuf.net/jobs/p/lKdMiEXGI6Tt-Web-Application-Designer-IES-Think-Cairo-Egypt?o=23&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Front-End Web Developer,URANIUM,"Maadi, Cairo, Egypt",23/12/2021 17:23,Full Time,Experienced,3 - 5 Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,Computer Science | front-end | HTML | HTML5 | CSS3 | Git | CSS | Information Technology (IT),https://wuzzuf.net/jobs/p/7m7Ky7cXDoI4-Front-End-Web-Developer-URANIUM-Cairo-Egypt?o=24&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Senior Web Developer,Pillars,"Cairo, Egypt",21/12/2021 17:23,Full Time | Web,Experienced,4 - 6 Yrs of Exp,IT/Software Development | Engineering - Other,JavaScript | Ruby | HTML | Programming | Web,https://wuzzuf.net/jobs/p/c1Wkq1Hu2b1P-Senior-Web-Developer-Pillars-Cairo-Egypt?o=25&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Web Designer,Perfect Presentation,"6th of October, Giza, Egypt",18/01/2022 17:23,Full Time | Web Design | Web Development,Entry Level,1+ Yrs of Exp,Creative/Design/Art | IT/Software Development | Engineering - Telecom/Technology,Web Design | Web Development | Information Technology (IT) | Computer Science | Software Engineering,https://wuzzuf.net/jobs/p/G3v4utMRJCZX-Web-Designer-Perfect-Presentation-Giza-Egypt?o=26&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Web Developer - Cairo,Sohati,"New Cairo, Cairo, Egypt",21/12/2021 17:23,Full Time,Entry Level,1 - 3 Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,coding | Computer Science | HTML | Information Technology (IT) | jQuery | PHP | CSS | WordPress,https://wuzzuf.net/jobs/p/68cuGt27SqC3-Web-Developer---Cairo-Sohati-Cairo-Egypt?o=27&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Web Designer - Alexandria,Alexandria For Programming,"Bolkly, Alexandria, Egypt",12/01/2022 17:23,Internship | Web Design | Web Development,Student,,IT/Software Development | Engineering - Telecom/Technology,Computer Science | Information Technology (IT) | JavaScript | Web Design | CSS | Web Development | Telecom Engineering,https://wuzzuf.net/jobs/p/wBWKckSX0ItO-Web-Designer---Alexandria-Alexandria-For-Programming-Alexandria-Egypt?o=28&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Web Designer,Stepinside V-commerce,"Smouha, Alexandria, Egypt",20/01/2022 17:23,Internship | Web Design | Web Development,Entry Level,,Business Development | Creative/Design/Art | IT/Software Development,UI/UX | UX | ui | Web Design | Web Development,https://wuzzuf.net/jobs/p/7u5sU2F4w9j5-Web-Designer-Stepinside-V-commerce-Alexandria-Egypt?o=29&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Web Designer,Target For Property,"Maadi, Cairo, Egypt",18/01/2022 17:23,Full Time | WordPress Development | PHP Development,Experienced,4 - 10 Yrs of Exp,Creative/Design/Art | IT/Software Development | Engineering - Telecom/Technology,WordPress Development | WordPress | CSS | HTML | HTML5 | PHP | PHP Development,https://wuzzuf.net/jobs/p/ammzgb4M21PH-Web-Designer-Target-For-Property-Cairo-Egypt?o=30&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Full Stack Web Developer (UI/UX Design Expert + AngularJS),Confidential,"Cairo, Egypt",21/12/2021 17:23,Full Time | developer | Web,Experienced,4 - 5 Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,Bootstrap | developer | jQuery | Full Stack | JavaScript | Design | ux design | Web,https://wuzzuf.net/jobs/p/8tMWnhgkRGq3-Full-Stack-Web-Developer-UIUX-Design-Expert-AngularJS-Cairo-Egypt?o=31&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Web Designer,Alz suisse sa,"Alexandria, Egypt",12/01/2022 17:23,Full Time | Work From Home | Web Design | Web Development,Experienced,2 - 4 Yrs of Exp,Creative/Design/Art | IT/Software Development | Engineering - Telecom/Technology,Computer Science | Design | illustrator | Information Technology (IT) | UI/UX | Web Design | Web Development,https://wuzzuf.net/jobs/p/Pt1KU6BNiukx-Web-Designer-Alz-suisse-sa-Alexandria-Egypt?o=32&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Senior Front End Web Developer,Digipalms,"Cairo, Egypt",21/12/2021 17:23,Full Time | Software Development | Web Development | Web,Experienced,5 - 7 Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,HTML5 | Software Development | Web Development | Computer Science | Web | React | Information Technology (IT) | ReactJS,https://wuzzuf.net/jobs/p/1c3fweGySGSi-Senior-Front-End-Web-Developer-Digipalms-Cairo-Egypt?o=33&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Junior ASP.NET Web Developer,Dimensions Information Technology,"Cairo, Egypt",21/12/2021 17:23,Full Time,Experienced,4 - 6 Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,C# | ASP.NET | SQL | .NET | MVC | Angular | Computer Science | Information Technology (IT),https://wuzzuf.net/jobs/p/6gLXF2Vqc3tt-Junior-ASPNET-Web-Developer-Dimensions-Information-Technology-Cairo-Egypt?o=34&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Fulltime Web Developer - (Start Immediately),BlankPage,"San Stefano, Alexandria, Egypt",21/12/2021 17:23,Full Time | Work From Home | PHP Web Development | Front-End Development,Experienced,3+ Yrs of Exp,Creative/Design/Art | IT/Software Development | Engineering - Telecom/Technology,PHP Web Development | Front-End Development | WordPress | Vue.js | Laravel | Computer Science | Information Technology (IT),https://wuzzuf.net/jobs/p/bbCwR96ar5EO-Fulltime-Web-Developer---Start-Immediately-BlankPage-Alexandria-Egypt?o=35&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Software Web Developer,EGYTORC,"Haram, Giza, Egypt",21/12/2021 17:23,Full Time | Software Development,Experienced,3 - 5 Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,JavaScript | PHP | Software Development | .Net | ASP.Net | Computer Science | CSS | HTML,https://wuzzuf.net/jobs/p/NNozS89vtv82-Software-Web-Developer-EGYTORC-Giza-Egypt?o=36&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Senior Full-Stack Web Developer,asasalqarar,"6th of October, Giza, Egypt",21/12/2021 17:23,Full Time,Experienced,5 - 10 Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,ASP.NET | MVC | Linq | AJAX | HTML | CSS | jQuery | JavaSript,https://wuzzuf.net/jobs/p/1LKK20xtKeiI-Senior-Full-Stack-Web-Developer-asasalqarar-Giza-Egypt?o=37&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Senior Web Developer,Magints,"Cairo, Egypt",21/12/2021 17:24,Full Time | Software Development,Experienced,3 - 5 Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,Angular | .Net | Computer Science | Information Technology (IT) | CSS | HTML | JavaScript | Software Development,https://wuzzuf.net/jobs/p/TP1TcEUhoMqk-Senior-Web-Developer-Magints-Cairo-Egypt?o=38&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Web Developer,Corporate Stack Solutions,"New Cairo, Cairo, Egypt",21/12/2021 17:24,Full Time | Web Development,Experienced,4+ Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,CSS | E-Commerce | jQuery | Web Development | Object Oriented | AJAX | Computer Science | Information Technology (IT),https://wuzzuf.net/jobs/p/0BfpZ9aqI4Mf-Web-Developer-Corporate-Stack-Solutions-Cairo-Egypt?o=39&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Senior Web Developer,Confidential,"Cairo, Egypt",21/12/2021 17:24,Full Time | Web Development | Software Development,Experienced,3+ Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,Web Development | Information Technology (IT) | Agile | Computer Science | Confluence | Software Development | HTML5 | Scrum,https://wuzzuf.net/jobs/p/RjVWHwxGOYsT-Senior-Web-Developer-Cairo-Egypt?o=40&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Senior Full Stack Web Developer (Node.js & Angular),Furqan Group for Education & IT,"Nasr City, Cairo, Egypt",21/12/2021 17:24,Full Time | Work From Home | Software Development | Front-End Development,Experienced,3+ Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,Computer Science | Software Development | JavaScript | Programming Language | Front-End Development | Angular | Full-Stack | englhsh,https://wuzzuf.net/jobs/p/RoxURfQHFiyV-Senior-Full-Stack-Web-Developer-Nodejs-Angular-Furqan-Group-for-Education-IT-Cairo-Egypt?o=41&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Senior .Net Developer,Z2 Data,"Nasr City, Cairo, Egypt",20/01/2022 17:24,Full Time | Software Development,Experienced,4+ Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,Computer Science | Information Technology (IT) | Software Development | .NET | ASP.NET | C# | javaScript | MVC,https://wuzzuf.net/jobs/p/DFQ383hF7Lxh-Senior-Net-Developer-Z2-Data-Cairo-Egypt?o=42&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Professional Full Stack Developer - Alexandria,Caduceus Lane,"San Stefano, Alexandria, Egypt",18/01/2022 17:24,Full Time | Web Development | Software Development,Experienced,2 - 4 Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,CSS | Full Stack | HTML | Web Development | Software Development | JavaScript | PHP | MySQL,https://wuzzuf.net/jobs/p/oPsUQFLLDeB4-Professional-Full-Stack-Developer---Alexandria-Caduceus-Lane-Alexandria-Egypt?o=43&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Junior Full Stack Developer - Alexandria,Caduceus Lane,"San Stefano, Alexandria, Egypt",18/01/2022 17:24,Full Time | Web Development | Software Development,Entry Level,1 - 2 Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,CSS | Full Stack | HTML | Web Development | Software Development | JavaScript | PHP | MySQL,https://wuzzuf.net/jobs/p/Cz5Xcn53a4OW-Junior-Full-Stack-Developer---Alexandria-Caduceus-Lane-Alexandria-Egypt?o=44&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Software Developer,Sega_m,"10th of Ramadan City, Cairo, Egypt",16/01/2022 17:24,Full Time | Software Development | Web Services | Web,Experienced,2 - 4 Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,Information Technology (IT) | Software Development | SQL | Web Services | Web | C | Entity | Software Engineering,https://wuzzuf.net/jobs/p/6WXpaxHsvDWE-Software-Developer-Segam-Cairo-Egypt?o=45&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
