Job Title,Company,Company Address,Posting Time,Job Type(s),Career Level,Years of Experience,Industries,Skill(s),Link
Senior Full Stack Software Engineer ( Python - React ),JRM for Communications,"Nasr City, Cairo, Egypt",20/12/2021 22:05,Full Time,Experienced,2 - 3 Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,Angular | Computer Science | Full-Stack | Information Technology (IT) | Python | React | Software | Software Development,https://wuzzuf.net/jobs/p/tQICjPOxhKYS-Senior-Full-Stack-Software-Engineer-Python---React-JRM-for-Communications-Cairo-Egypt?o=11&l=sp&t=sj&a=AI%20Engineer|search-v3|hpb
Graduate Research Intern,360Imaging,"Dokki, Giza, Egypt",20/12/2021 22:05,Internship | Artificial Intelligence (AI),Student,,IT/Software Development | Engineering - Telecom/Technology,C | C++ | Linear Algebra | Image Processing | Computer Graphics | Computer Vision | Artificial Intelligence (AI) | PyTorch,https://wuzzuf.net/jobs/p/dHmqrjtK2qNC-Graduate-Research-Intern-360Imaging-Giza-Egypt?o=12&l=sp&t=sj&a=AI%20Engineer|search-v3|hpb
Pre-press Manager (Designer) - 6th of October,Cellopack for Packaging Industries,"6th of October, Giza, Egypt",10/01/2022 22:05,Full Time,Manager,4 - 6 Yrs of Exp,Creative/Design/Art | Marketing/PR/Advertising | Media/Journalism/Publishing,Printing | Publishing | Packaging | Graphic Design | Production | Color Separation | Applied Arts,https://wuzzuf.net/jobs/p/Sx9TP5x9da9x-Pre-press-Manager-Designer---6th-of-October-Cellopack-for-Packaging-Industries-Giza-Egypt?o=13&l=sp&t=sj&a=AI%20Engineer|search-v3|hpb
Senior Python Back-End Developer (Remote),skora tech,"Cairo, Egypt",20/01/2022 10:05,Full Time | Work From Home | Software Engineering,Experienced,2 - 7 Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,Python | Computer Science | MySQL | Software Development | Software Engineering | Docker | Java | AWS,https://wuzzuf.net/jobs/p/qdfMJXaNymZa-Senior-Python-Back-End-Developer-Remote-skora-tech-Cairo-Egypt?o=14&l=sp&t=sj&a=AI%20Engineer|search-v3|hpb
3D Unity Game Developer (On Site),Ebers,"Alexandria, Egypt",13/01/2022 22:05,Full Time,Experienced,2 - 3 Yrs of Exp,Creative/Design/Art | IT/Software Development | Engineering - Telecom/Technology,AR | Game | Game development | Programming | Software Development | Unity | Unity3D,https://wuzzuf.net/jobs/p/4RyEtj37MhzJ-3D-Unity-Game-Developer-On-Site-Ebers-Alexandria-Egypt?o=15&l=sp&t=sj&a=AI%20Engineer|search-v3|hpb
Computer Science Instructor (For Kids),Edu-Zone,"New Cairo, Cairo, Egypt",05/01/2022 22:05,Full Time | Part Time,Entry Level,0 - 3 Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology | Training/Instructor,Teaching | Education | STEAM | Computer Skills | Astronomy | Science | Physics,https://wuzzuf.net/jobs/p/Igsv575Ic54K-Computer-Science-Instructor-For-Kids-Edu-Zone-Cairo-Egypt?o=16&l=sp&t=sj&a=AI%20Engineer|search-v3|hpb
Senior Full Stack Software Engineer (.NET Core - Angular),JRM for Communications,"Nasr City, Cairo, Egypt",20/12/2021 22:05,Full Time | Engineering,Experienced,2 - 3 Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,Angular | Agile | Computer Science | Development | Engineering | Software | Software Development | .Net,https://wuzzuf.net/jobs/p/ffjvhb6CLeuU-Senior-Full-Stack-Software-Engineer-NET-Core---Angular-JRM-for-Communications-Cairo-Egypt?o=17&l=sp&t=sj&a=AI%20Engineer|search-v3|hpb
Senior React Native Developer (Remote),skora tech,"Cairo, Egypt",20/12/2021 22:05,Full Time | Work From Home | Software Engineering,Experienced,2 - 7 Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,Python | Computer Science | MySQL | Software Development | Software Engineering | Docker | Java | AWS,https://wuzzuf.net/jobs/p/mefaCPcSUKlk-Senior-React-Native-Developer-Remote-skora-tech-Cairo-Egypt?o=18&l=sp&t=sj&a=AI%20Engineer|search-v3|hpb
IT Audit Manager,HR Health One,"Mohandessin, Giza, Egypt",20/01/2022 17:05,Full Time | Computer Engineering,Manager,10 - 12 Yrs of Exp,IT/Software Development,Computer Engineering | Information Technology (IT) | Project Management | Communication skills | IT | SQL | Unix | Computer Science,https://wuzzuf.net/jobs/p/y6BQw0QENuod-IT-Audit-Manager-HR-Health-One-Giza-Egypt?o=19&l=sp&t=sj&a=AI%20Engineer|search-v3|hpb
Senior Java Back-End Developer (Remote),skora tech,"Cairo, Egypt",20/12/2021 22:05,Full Time | Work From Home | Software Engineering,Experienced,2 - 7 Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,Python | Computer Science | MySQL | Software Development | Software Engineering | Docker | Java | AWS,https://wuzzuf.net/jobs/p/K90a7FwwrhGB-Senior-Java-Back-End-Developer-Remote-skora-tech-Cairo-Egypt?o=20&l=sp&t=sj&a=AI%20Engineer|search-v3|hpb
Applied Machine Learning Engineer / Computer Vision Scientist,412labs.com,"Cairo, Egypt",20/11/2021 22:05,Full Time | Freelance / Project | Work From Home,Experienced,4+ Yrs of Exp,IT/Software Development,Computer Vision | Information Technology (IT) | Deep Learning | Python | Research | Machine Learning | OpenCV | TensorFlow | Keras,https://wuzzuf.net/jobs/p/iechGl4TG6q8-Applied-Machine-Learning-Engineer-Computer-Vision-Scientist-412labs-com-Cairo-Egypt?o=21&l=sp&t=sj&a=AI%20Engineer|search-v3|hpb
Speech-To-Text Transcriptionist (Wav2Letter++ ) (Arabic + English Models),Unvc,"Cairo, Egypt",20/11/2021 22:06,Freelance / Project | Computer Engineering,Entry Level,1+ Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,Wav2letter | PyTorch | Speech recognition | Transcription | Computer Science | Computer Engineering | Information Technology (IT) | English,https://wuzzuf.net/jobs/p/6HNRR1CQpyed-Speech-To-Text-Transcriptionist-Wav2Letter-Arabic-English-Models-Unvc-Cairo-Egypt?o=22&l=sp&t=sj&a=AI%20Engineer|search-v3|hpb
Senior Ruby on Rails Developer,Remote Platz,"Zurich, Switzerland",20/12/2021 22:06,Full Time | Work From Home,Experienced,3+ Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,Ruby | Ruby on Rails | Rails | Git | Programming | Software | Microservice Architecture | Docker,https://wuzzuf.net/jobs/p/sbJUmhJRt6t5-Senior-Ruby-on-Rails-Developer-Remote-Platz-Zurich-Switzerland?o=23&l=sp&t=sj&a=AI%20Engineer|search-v3|hpb
Junior R&D Software Engineer - .NET,AGI,"6th of October, Giza, Egypt",20/11/2021 22:06,Full Time,Entry Level,1 - 3 Yrs of Exp,R&D/Science | IT/Software Development | Engineering - Telecom/Technology,Agile | .Net | Computer Science | ASP.Net | Design | Information Technology (IT) | Git,https://wuzzuf.net/jobs/p/Lnuu7I6zTCew-Junior-RD-Software-Engineer---NET-AGI-Giza-Egypt?o=24&l=sp&t=sj&a=AI%20Engineer|search-v3|hpb
Software Development Team Manager-Cairo,International Advanced,"Nasr City, Cairo, Egypt",28/12/2021 22:06,Full Time | Software Engineering | Computer Engineering,Manager,10+ Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,Computer Science | Development | Information Technology (IT) | Manager | Software | Software Development | Software Engineering | Computer Engineering,https://wuzzuf.net/jobs/p/Y64nalrP0m2T-Software-Development-Team-Manager-Cairo-International-Advanced-Cairo-Egypt?o=25&l=sp&t=sj&a=AI%20Engineer|search-v3|hpb
Senior .Net Core Developer,Maxim Investment Group,"Sheraton, Cairo, Egypt",03/01/2022 22:06,Full Time,Experienced,4+ Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,APIs | .net core | Azure | ASP.Net | Microsoft SQL Server | REST | Microsoft TFS | Firebase,https://wuzzuf.net/jobs/p/b9ZzP2kg4Psa-Senior-Net-Core-Developer-Maxim-Investment-Group-Cairo-Egypt?o=26&l=sp&t=sj&a=AI%20Engineer|search-v3|hpb
Computer Science Instructor (Game development),iSchool,"New Cairo, Cairo, Egypt",20/11/2021 22:06,Full Time | Work From Home,Entry Level,0 - 5 Yrs of Exp,IT/Software Development | Education/Teaching | Training/Instructor,Computer Science | Instructor | Training | Teaching | Science | Computer | Programming,https://wuzzuf.net/jobs/p/nHD9AbqnlMSY-Computer-Science-Instructor-Game-development-iSchool-Cairo-Egypt?o=27&l=sp&t=sj&a=AI%20Engineer|search-v3|hpb
Software Development Manager,Cash Solutions,"Dokki, Giza, Egypt",20/11/2021 22:06,Full Time | Engineering,Manager,10+ Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,Agile | computer | Computer Science | Development | Engineering | Financial | Information Technology (IT) | Software,https://wuzzuf.net/jobs/p/XmZOiTLTKgCs-Software-Development-Manager-Cash-Solutions-Giza-Egypt?o=28&l=sp&t=sj&a=AI%20Engineer|search-v3|hpb
Senior Laravel Developer,34ML,"Heliopolis, Cairo, Egypt",20/11/2021 22:06,Full Time | Software Engineering | Engineering,Experienced,3 - 6 Yrs of Exp,Installation/Maintenance/Repair | IT/Software Development | Engineering - Telecom/Technology,Computer Science | Software Development | Information Technology (IT) | Software Engineering | MVC | Engineering | Git,https://wuzzuf.net/jobs/p/3qDistHVORck-Senior-Laravel-Developer-34ML-Cairo-Egypt?o=29&l=sp&t=sj&a=AI%20Engineer|search-v3|hpb
Laravel Developer,34ML,"Heliopolis, Cairo, Egypt",20/11/2021 22:06,Full Time | Software Engineering | Engineering,Entry Level,1 - 3 Yrs of Exp,Installation/Maintenance/Repair | IT/Software Development | Engineering - Telecom/Technology,Computer Science | Software Development | Information Technology (IT) | Software Engineering | MVC | Engineering | Git,https://wuzzuf.net/jobs/p/3uVKnRmUZLPZ-Laravel-Developer-34ML-Cairo-Egypt?o=30&l=sp&t=sj&a=AI%20Engineer|search-v3|hpb
Account Management Lead,LxT,"Cairo, Egypt",20/11/2021 22:06,Full Time,Manager,8 - 10 Yrs of Exp,Customer Service/Support | Operations/Management | Project/Program Management,Account Management | Project Management | Customer Service,https://wuzzuf.net/jobs/p/RB46aoONY5j2-Account-Management-Lead-LxT-Cairo-Egypt?o=31&l=sp&t=sj&a=AI%20Engineer|search-v3|hpb
Senior Frontend Web Developer,Trufla,"Heliopolis, Cairo, Egypt",05/01/2022 22:06,Full Time,Experienced,5 - 7 Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,HTML5 | Laravel | CMS | Sketch | Figma | InVision | Linux | Computer Science,https://wuzzuf.net/jobs/p/ZNMT5h5IF8Pk-Senior-Frontend-Web-Developer-Trufla-Cairo-Egypt?o=32&l=sp&t=sj&a=AI%20Engineer|search-v3|hpb
Senior Full Stack Developer (Spring - Angular),A1Softech,"Cairo, Egypt",20/11/2021 22:06,Full Time,Experienced,5+ Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,Java | Angular | Spring Boot | spring Framework,https://wuzzuf.net/jobs/p/lYdiWsEjIr5F-Senior-Full-Stack-Developer-Spring---Angular-A1Softech-Cairo-Egypt?o=33&l=sp&t=sj&a=AI%20Engineer|search-v3|hpb
Key Account Manager,GET Group- Egypt,"Sheraton, Cairo, Egypt",20/11/2021 22:06,Full Time,Experienced,2+ Yrs of Exp,Business Development | IT/Software Development | Sales/Retail,Business Development | Sales | Sales Skills | Sales Target | Customer Service | Customer Care | Customer Support,https://wuzzuf.net/jobs/p/BhWYZYo7uoWw-Key-Account-Manager-GET-Group--Egypt-Cairo-Egypt?o=34&l=sp&t=sj&a=AI%20Engineer|search-v3|hpb
